Firm,date,employee_title,location,review_title,pros,cons
Facebook,"Aug 21, 2020 ", TPM,"Menlo Park, CA",Great engineering company,"World class engineers. Great managers. Really hard engineering problems to solve.
","Can feel chaotic and speed can feel overwhelming.
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Aug 21, 2020 ", Program Manager,"Fremont, CA",The work is rewarding!,"The culture is top notch. There is a lot of impactful work here. Leadership does a great job of ensuring their teams are appreciated, motivated and in the right position to succeed. Compensation and Perks are highly competitive
","It's a company that is very much in the weeds of social and economic challenges. It's a tricky balancing act. It almost doesn't matter what products you work on. Whether you agree or not with what's in the media - you have to be strong and focused in order to do your best work. Bottom line - it's easy to get distracted with it being a company in the middle of so many worldly issues - but this right here is the place to do your most impactful work.
"
Facebook,"Aug 20, 2020 ", Junior Software Developer,"Washington, DC",Good experience,"Employee are treated as family memberw
","Busy schedule, Work load, Vast task
"
Facebook,"Aug 20, 2020 ", Senior Product Manager,"Palo Alto, CA",They lost their way,"food, salary, environment, perks, healthcare
","no moral compass, inability to recognize the negative impact of Facebook on global population and mental health, growth at all costs
"
Facebook,"Aug 19, 2020 ", Growth Marketing Analyst,"Menlo Park, CA",Cross between PM and analyst role,"Great benefits and salary. Opportunity to lean more towards PM work or more towards analysis.
","Not a well defined role, GMs fill in the gaps on product teams and some may lean more towards a PM role and some may lean more towards an analytics role. Has the cons of working for a big company (too many meetings, shareouts, XFN coordination)
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Aug 18, 2020 ", Business Analyst,"Menlo Park, CA",Good,"Culture, Food, People, Environment, Location
","Remote, Locale, Pay, H, H
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Aug 17, 2020 ", Software Engineer Intern,"Menlo Park, CA",Software Engineer Intern,"Nice employer who helps me in everything
Nice food
","Under some pressure
Very crowded places
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Aug 16, 2020 ", Technical Program Manager,"Menlo Park, CA",Be Bold and Be Open are truly upheld!,"- Flexible work culture
- Encourage remote work
- Diverse teams 
- Autonomy to get things done
- Flat structure. Be bold culture is truly encouraged
","- FB is known for its chaos. However, teams roll up their sleeves to get things done amidst of the chaos.
1 person found this review helpful
Helpful
Share
Repor"
Facebook,"Aug 15, 2020 ", Software Engineer,"Seattle, WA",Great culture,"No micromanagement, high impact work
","Necessary process for promotion level
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Aug 15, 2020 ", QLA,"Whitman, WV",Strong honest loyal and I am a very hard worker,"Being able to meet people and a chance to live life
","You get close to people
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Aug 14, 2020 ",Anonymous,"Menlo Park, CA",Growing during a Pandemic!,"Great Benefits, Amazing Compensation, The Best People -Intellectual Property! Phenomenal culture! Challenging work, working on some of the most complex problems in the industry.
","- Instability during growth.
-Pandemic wfh lack of interaction to reap some of the culture rewards
"
Facebook,"Aug 13, 2020 ", Data Engineer,"Menlo Park, CA",Fantastic Place to Work,"- Salary / Perks
- Culture
- Openness
- Technical Depth
- Autonomy
","- Proprietary Tech
- Competitive
- Political
- Difficult to pursue intellectual interest
"
Facebook,"Aug 12, 2020 ", Recruiter,"Austin, TX",Working at FB,"They do have good intentions
","The culture is team based
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Aug 12, 2020 ", Software Engineer,"Austin, TX",Horrible Culture,"Free food and fun activities
","so disorganized and no one in charge
3 people found this review helpful
Helpful
Share
Repor"
Facebook,"Aug 12, 2020 ", DC Network Engineer,"New Albany, OH",Best working culture I've experienced in my 20 years career,"FB is an excellent workplace for any engineer that wants to collaborate, values colleagues, get things done and work on interesting, innovative projects that actually have an impact on the world. At FB managers don't belong to the elite group and engineers are looked down upon as just worker bees. They don't get in your way, they actually support you in meaningful way. Here at FB you are encourage to be you, best self and you are supported by you peers in you journey of profession and personal development. Best culture I've experienced!
","It might not be for everybody, if you are characterized by individualism, conflict producer, avoid ownership and work, with no sense of community.
"
Facebook,"Aug 11, 2020 ", Account Manager,"Menlo Park, CA",Account Manager,"Great company perks including free food, free shuttle to work,
","Fast paced environment. Things are constantly changing and it may be hard to keep up
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Aug 10, 2020 ", Software Engineer,"Seattle, WA",Pretty straightforward,"The job expectations and promotion progress feel very transparent at Facebook and I feel that my manager has my best interests in mind. I receive plenty of help from senior engineers and feel that I am progressing well as a programmer.

My team also agrees to work 40hr weeks, which is not what I was expecting before coming here (excluding oncall).
","I work on a ton of refactoring, so having to understand undocumented and poorly written code can be a pain :(

When I am oncall, I can be paged to fix the production service after work hours though I haven't been paged while sleeping yet.
1 person found this review helpful
Helpful
Share
Repor"
Facebook,"Aug 9, 2020 ", Software Engineer,"Menlo Park, CA",Overall good,"Smart colleagues, relaxed and friendly work environment
","Can feel like a cog in the machine
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Aug 8, 2020 ", Incident Response Analyst,"Austin, TX",Great Benefits/Compensation and Compassionate Leadership,"Facebook focuses on giving every employee a voice. I have never worked for a more compassionate and transparent company before.
Pay scales are based on your geographic location as well as experience so you are able to afford to live where you live. 
The health benefits and perks are the better than any other company I have found. 
Promotions are based on ones impact, not tenure, so everyone is hard working and cross functional relationships contribute to your efforts rather than hinder them.
","If not in product development or engineering at times your team can feel like an after thought for issues like mental health concerns when dealing with graphic content and adequate headcount to get the job done. 
Lack of career path and job options for positions outside of engineering.
"
Facebook,"Aug 8, 2020 ", Individual Contributor,"Menlo Park, CA",My experience at Facebook is great.,"You can always find the best team, that suits your best interests. 
My team specifically is awesome. I find the projects and initiatives really intersting.
","Unfortunately I joined the company during the COVID-19 and initially it was a bit hard to ramp up on culture, get to know the team over the VC, have a chance to work and walk in the office rooms.
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Aug 6, 2020 ", Technical Sourcer,"Austin, TX","Good company, need the right manager though","FBRGs, Food , perks, health benefits, locations,
","women & men are not equal. very #s driven in some orgs. bro culture.
2 people found this review helpful
Helpful
Share
Repor"
Facebook,"Aug 6, 2020 ", Product Designer,"New York, NY",-,"holistic role including UX, UI and product strategy
","Fast paced environment, require heavy agility
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Aug 5, 2020 ",Anonymous,"Austin, TX",Best company to work for,"Benefits, Management, Openminded, just to name a few.

I worked at couple of companies and FB is the best one yet. People you get to work with are really passionate about what they do, and very helpful. In addition you can be yourself here, and you are the only one that drives you carrier, so if you have drive, you will be very successful here.
","Would love to see tuition reimbursement as an option.
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Aug 4, 2020 ",Anonymous,"Menlo Park, CA",Facebook remains a great place to work,"Love the Culture, mission, autonomy, accountability,
","The bigger we get the more difficult it can be to navigate internal processes, but overall it’s still pretty amazing.
"
Facebook,"Aug 4, 2020 ", Intern,"Palo Alto, CA",intern,"great fun have free time
","busy and kind of stressful
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Aug 4, 2020 ", Sourcer,"Austin, TX",Facebook is the Bomb,"Benefits 
Work-life balance 
PTO
Salary 
Freebies
","My actual job was a pain because my client group was so incredibly picky, but the benefits were worth a lot of the frustration
"
Facebook,"Aug 4, 2020 ",Anonymous,"Pacific, WA",Solid Place to Work,"Zuckerberg is the man with the plans.
","There’s Big time zuckerberg energy
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Aug 4, 2020 ", Senior Software Engineer,"Menlo Park, CA",My work experience,"High salary, good job atmosphere, nice people and a nice area.
","Very competative, easy to get fired
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Aug 3, 2020 ", Critical Facility Engineer,"Los Lunas, NM","Great People, Great Environment","Every tool needed to get a job done is available. 
Support structure is welcoming and willing.
","The multiple communication channels can promote fear of missing something important.
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Aug 1, 2020 ", Technical Sourcer,"San Francisco, CA",Pretty good,"Culture, mission, transparency, benefits, scope of work.
","Fast paced environment and constant change. IT's almost every company but can be a con for some.
"
Facebook,"Jul 31, 2020 ", Product Designer,"Menlo Park, CA",Good place to work,"huge impact of your contribution
professional teammates
","nothing to say about this company for now
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Jul 31, 2020 ", Senior Product Designer,"Menlo Park, CA",Best company I have ever worked at,"Great place to learn and grow
","Work life balance is challenging
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Jul 30, 2020 ", Software Engineer (IC4),"Seattle, WA",You can't make a bigger impact elsewhere,"* Incredible company values who value openness and acceptance of all cultures 
* Every employee operates at an incredibly high velocity and you feel like you can really get stuff done. It's exciting. 
* You can touch the lives of billions of people with your work. Not going to get that anywhere else. 
* Free Food
* Great pay
* Great perks 
* Ample training and help
","* Currently only remote due to pandemic, so no free food
* You will be responsible for more than you likely have before, Prepare to grow and ramp up quickly. You will find your optimizing small tasks so you can keep moving quickly.
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Jul 29, 2020 ", Software Engineer,"New York, NY",good,"pay is really competitive and amenities are good.
","Work life balance is tough
1 person found this review helpful
Helpful
Share
Repor"
Facebook,"Jul 29, 2020 ", Technical Sourcer,"Chicago, IL",Amazing Company,"I have been at a lot of different companies before finding Facebook, and I could not be happier. Everyone in management is understanding, and always wanting to mentor. The benefits are unreal, and stock is awesome!
","All the cons are the same as any big company. Sometimes it can feel like everything is changing and you don't know what is going on, or the competition is too high. Just a culture and work switch if you are use to mid/small size companies coming to Facebook.
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Jul 28, 2020 ", Subject Matter Expert,"Albuquerque, NM",Unbelievable company to work for,"Too many to believe. Unbelievable benefits - Completely free healthcare, Free breakfast and lunch, lots of vacation, unlimited sick time
","Company going through growing pains because it is so new
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Jul 28, 2020 ", Product Specialist Intern,"New York, NY",PS Intern,"Word with very smart people
","Tend to be undervalued By product team
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Jul 28, 2020 ", Administration Assistant,"Austin, TX",The Best!,"Benefits are amazing, work life balance rocks, don’t even get me started at the amazing offices, micro kitchens and food! I’m never leaving!
","nothing bad to report at this time
2 people found this review helpful
Helpful
Share
Repor"
Facebook,"Jul 27, 2020 ", Critical Facility Engineer,"Papillion, NE",Data Center Facility Engineer,"Facebook cares about it's people and will challenge you to learn and grow.
","The interview process took me 4-months to complete so hiring straight out of college or in a situation where you are unemployed could be challenging.
"
Facebook,"Jul 27, 2020 ", Senior Research Scientist,"New York, NY",Excellent work environment,"Respectful environment with a strong culture of diversity and inclusion.
","Overload of communication means which sometimes (thought not often) leads to confusion.
"
Facebook,"Jul 27, 2020 ", Field Engineer,"New Albany, OH",Culture Shock in the Best Way Possible,"Amazing communication from the top down. Everyone has access to all of the important information to ensure that work is done.
","it can be a little scary coming into such an open culture when viewed from the perspective of other companies, but this isn't a con, it's just a new way to adjust to; especially this new concept called ""family"" apparently I had reproduced and I get to spend time with them instead of slaving away at work like at previous places that i have worked.
"
Facebook,"Jul 26, 2020 ", Software Engineer Manager,"Menlo Park, CA",Strong engineering culture with a clear focus on people,"- Stellar coworkers
- Generous compensation and benefits
- Focused on positive work culture and interpersonal skill development (e.g. conflict resolution, giving feedback, inclusiveness)
- Best-in-class engineering systems
- (In most orgs) Less red tape / unnecessary process than Google and Microsoft, for example
","- Association with the Facebook brand can be difficult in elections press cycles
- ""Golden handcuffs"" : So cushy it's hard to leave
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Jul 26, 2020 ", User Experience Researcher,"San Francisco, CA",UX researcher,"free lunch and dinner every day
","a little bit fast-paced sometimes
"
Facebook,"Jul 25, 2020 ", Network Engineer,"Menlo Park, CA",good company to work,"I was employed by Basic Solution, but was working at Facebook full time. The company is amazing, it is such a pleasant place to work at. Everyone is supportive, even though if you reach out to them out of the blue. My manager always there for me, and prioritized our needs, and constantly supported system optimization
","Facebook depend on contingent work
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Jul 24, 2020 ", Executive Assistant,"Menlo Park, CA",Making an impact in ways I could not have imagined,"Autonomy and freedom to make impact through work to personal strengths, excellent compensation structure, solid company culture, over the top benefits and I truly feel the company cares about it's employees.
","Work life balance can be challenging, though the company has been working hard to balance this out.
2 people found this review helpful
Helpful
Share
Repor"
Facebook,"Jul 23, 2020 ", Marketing Specialist,"San Francisco, CA",Overall Good,"The Pros of FACEBOOK are that they have great perks, relaxed atmosphere.
","The Cons of FACEBOOK is that I don't have any Cons.
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Jul 22, 2020 ", Engineering Manager,"Menlo Park, CA","Challenging, comfortable, well-compensated, controversial","- Good compensation and benefits
- You can work on projects that are really important for the world as a whole
- The management is generally competent
","- Very controversial company. It's uncomfortable to work at a place where most people think you're doing bad things
- The leadership is smart and effective, but rationalizes self-interested decisions as good for the world. This is the basic reason why Facebook has made so many controversial decisions over the years, I believe
- Like any big company, things can feel impersonal
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Jul 21, 2020 ", Software Engineer,"New York, NY",Overall a great company for software engineer who like to trade energy for growth,"Paid well
Allow you to be exposed to more aspect of things and that helps you grow
Top leaders though, very pushy, show care about employee benefit a lot
","You can't retire in this company, it expects a lot more from you than some other even bigger / older tech company
It is also going bigger and bigger, corporation issue started showing up
1 person found this review helpful
Helpful
Share
Repor"
Facebook,"Jul 21, 2020 ", Software Engineer,"Menlo Park, CA",Good Job,"Impact and complex engineering problems
","Company mission and sociopolitical impact of product
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Jul 19, 2020 ", Program Manager,"Austin, TX","Amazing perks, awesome pay, and great people","Best place I've ever worked - high comp, interesting work, and really friendly people
","Well, there's the political stuff and everything, but other than that this is the best place I've ever worked
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Jul 19, 2020 ", Product Counsel,"San Francisco, CA",Fast-paced and stressful,"Perks; Smart people; Autonomy; Opportunities to create impact
","Demanding clients; Short deadlines; Lack of meaningful support
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Jul 18, 2020 ", Rotational Software Engineer,"New York, NY",An incredible place to work despite their reputation,"The CEO does a Q&A every week where he answers the most voted questions, no topics off limits.
Incredible benefits and perks.
Fantastic environment with extremely intelligent coworkers.
","There may be some business decisions you disagree with morally, but leadership at least will talk about it and have changed their decisions based on feedback.
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Jul 15, 2020 ", Industry Manager,"New York, NY",FB Sales Manager,"leadership, growth, pay, benefits, mobility
","tough press cycles, big company, hard to navigate
"
Facebook,"Jul 15, 2020 ", User Experience Content Strategist,"Menlo Park, CA",Never met a better job,"I could go on and on, but here are some highlights:

- You'll work with some of the smartest, hardest-working folks on the planet
- People love trying new things and innovating
- Your writing can fly on a mind-blowing scale
- Complex, globally impactful problems will be yours to unravel
- You'll be surrounded by people who truly want you to succeed
- Management can feel downright wholesome at times
- Feedback culture is a real thing
- People talk openly about their mistakes and failures
- Tons of freedom to define your position and move up, around and sideways
- Generous and extremely thoughtful compensation
- They put their money where their mouth is when they say they care about employees
- You can express yourself freely (employees openly disagree with leadership without fear of losing their jobs)
- Lots of very real transparency from leadership
- You can still feel startup vibes even though it's Big Tech
- It's just exciting
","- It moves verrry fast so you'll need to be committed to protecting your time.
- If you need a ton of specific direction and structure, it may not be for you.
- People send you the memes
2 people found this review helpful
Helpful
Share
Repor"
Facebook,"Jul 15, 2020 ", Technical Sourcer,"Seattle, WA",Warm Welcome,"Super-friendly employees, teammates, and cross-functional partners eager to help
","Internal communication process is not standard email and requires some getting used too.
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Jul 15, 2020 ", Software Engineer,"Seattle, WA",A great opportunity to work with great people,"Having been here for a few months, there is an incredible level of freedom to contribute in many different ways. As a developer if something needs fixing, its gets tabled for fixing. I've been more used to hierarchical approaches to management, so facebook is a refreshing change, allowing me to bring forward many different aspects of my skill set, not just the narrow set defined by my job title. Diverse and welcoming company, offering many opportunities to learn new skills and projects.
","Took a little while to get used to the lack of being told what to do. It may seem a bit chaotic at first, but ultimately that is an incredible freedom.
2 people found this review helpful
Helpful
Share
Repor"
Facebook,"Jul 15, 2020 ", Business Intelligence Analyst,"Austin, TX",Dream place to work,"They know staff have lots of opportunities so they provide amazing benefits and immense support for achieving career goals. And, with 3 billion people using FB products, every role has immense impact.
","Everyone is incredibly smart so expectations are high.
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Jul 14, 2020 ", Logistics Analyst,"Fort Worth, TX",They care about their employees,"-Great pay and benefits
-They seem to care deeply about us
-Feedback is used as a positive tool both up and down
-On site amenities are pretty awesome
","-Portions of the company are very vocal about their political opinions
-Negative press by both sides of the media
"
Facebook,"Jul 14, 2020 ", Technical Sourcer,"New York, NY",Fantastic company!,"Culture is amazing.
Management really cares about you and they provide amazing benefits as well.
There is a lot of opportunities to learn and grow.
","Recruiting team is quite large and sometimes you end up trying to ""recruit"" the same candidates. But there are processes in place to avoid that.
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Jul 13, 2020 ", Sourcing,"Fremont, CA",Love Facebook,"Work with one of the best people in the industry
","Location of work is not flexible (bay area)
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Jul 10, 2020 ", Production Engineer,"Menlo Park, CA",Good place to start career and grow,"Good Management
Helpful peers and mentorship
Interesting projects and wide array of opportunities
","Lots of things going on at same time. Can feel a little overwhelming.
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Jul 10, 2020 ", Data Engineer,"Menlo Park, CA",GOAT workplace,"amazing food, benefits, office, perks, and people are awesome
","I can't really think of any
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Jul 8, 2020 ", Art Director,"Menlo Park, CA",Best Workplace,"- Huge Impact Projects
- Competitive Salary
- Crazy amount of perks
- Shares
- Fantastic work/life balance
","- Too much internal politics
- Too many layers and too many hoops to jump through to ship new features and ideas
- Often feels like there are ""too many cooks in the kitchen""
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Jul 8, 2020 ", Product Manager,"Menlo Park, CA",Amazing place to work and grow your PM career,"There are an abundance of resources and projects to work on. If you really don't like something, you could move to another project.
","With great power comes great responsibility.
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Jul 8, 2020 ", Controls subject matter expert,"Papillion, NE",Best place I have ever been employed,"Salary, PTO, culture, benefits, leadership
","The food is so good you will gain 15 pounds
"
Facebook,"Jul 8, 2020 ", Design,"Menlo Park, CA",Love working here,"The sky is the limit, so many opportunities. You're surrounded by brilliant people and interesting problems. Comp is great too.
","You've got to work hard.
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Jul 7, 2020 ", Junior Software Engineer,"New York, NY",Good for around three years,"The initial salary was high.
","However, my salary fails to grow over three years of period.
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Jul 6, 2020 ", CFE,"Atlanta, GA",Can't say how wonderful it is in a year.,"A company that is truly caring of its employees. A company that cares truly how its people are doing.
","Have not found a single thing yet.
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Jul 6, 2020 ", Engineering Manager,"Seattle, WA",Will recommend to all SW engineers,"Impact Compensation Career growth Perks Work life
","None, great place to be in
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Jul 6, 2020 ", Software Engineer,"Seattle, WA",Fast and bumpy ride! Top of the line comp and perks.,"Smart people all around. Learn awful lot of stuff. Great comp and perks.
","Move fast (and break things) culture; WLB may be bad depending on teams. Sloppy documentations.
1 person found this review helpful
Helpful
Share
Repor"
Facebook,"Jul 6, 2020 ", Recruiting Manager,"New York, NY",THE Best place to work,"Sensitive to people's needs during COVID, thoughtful, transparent and compassionate leadership, temporary add on benefits to help out working from home. Used this COVID time to learn more about what is possible in terms of how we might work remotely
","Pace at times can be lightning speed
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Jul 4, 2020 ", Critical Facilities Engineer,"Altoona, IA","Great company, even better work environment, the best benefits","free food
free EV charging
great health care plan (free if you're single)
amazing working conditions
","Nothing that I've found so far..
Be the first to find this review helpful
Helpful
Share
Repor"
Facebook,"Jul 1, 2020 ", Program Manager,"Menlo Park, CA","A great place to work, but a lot of moving fast for no good reason","Pretty good/ competitive salary 
Excellent health insurance 
Solid name recognition for future jobs
Top notch perks
","Leadership moves from crisis to crisis to crisis. The attention focus is relatively short on the hot issue of the moment and that trickles down to every org. You can be working on the number 1 goal or project from Jan - June and knock it out of the park. Then by July everyone's attention has shifted and your work is no longer relevant. A lot of institutional knowledge is lost this way. 

The company skews young as well, so there are a lot of inexperienced people who want to make their mark/get their promotions and they work hard but don't get the guidance that would help them work smarter. The result is that some teams take ""done is better than perfect"" and ""ask for forgiveness rather than permission"" to another level, which can make work tedious. Almost everyone comes from elite schools and has great stats so some really lean in extra hard into making themselves stand out, sometimes in ways that aren't the most useful or healthy. 

There's also a hierarchy Technical people on top, then Business people (cause they make the money) then lawyers then everyone else. People in ops often are at the bottom of the totem pole.

Transferring internally can be especially challenging, as there are no extra considerations for internal hires.
"
